postnummer,NDI,NDI_rank
50761,.17263192,.61318725
50762,-.33119199,.37605166
50763,-.59416425,.26853845
50764,-.67923665,.23664644
50765,.31394672,.67041677
50770,.35217997,.68401486
50771,.50638652,.73909217
50790,.41350445,.70808059
51131,-.027859587,.51907653
51141,.054287948,.55742514
51142,-.22884864,.42594403
51153,.39868346,.7011348
51154,-.81386167,.19790648
51155,-1.7042719,.045783605
51156,.20505226,.6282528
51157,-.094277844,.48816279
51158,.38803893,.6969282
51159,.35847583,.68606925
51161,-1.3362941,.085795343
51162,-.14432478,.46478185
51163,-.73785847,.21952651
51164,-1.7744561,.040794365
51168,.30568755,.66650361
51169,.34214526,.67912346
51170,-1.0845538,.13040501
51171,-.53978765,.28966933
51172,-.8042925,.20191744
51173,.068578817,.56505579
51174,-.12588048,.47339073
51191,-.24327177,.41880259
51192,-.11257389,.47974956
51193,-.30882159,.38651928
51194,-.95947176,.15975347
51195,-.73284042,.22118959
51196,-.300439,.39092153
51197,.0040391409,.53512031
51198,.15460446,.604774
51199,.29948285,.66454703
51250,-1.882414,.032772452
51251,-1.0589617,.13666601
51252,-1.2136459,.10565447
51253,-.85736251,.18714537
51254,-.54725701,.28634319
51260,-.68686241,.23488554
51261,-.67651409,.23830953
51262,-1.104485,.12649187
51263,-.86657685,.18391705
51264,-.86443508,.18499315
51265,-.73586696,.22011349
51276,-.40518317,.34230092
51277,-.3993665,.34533361
51290,-.050142281,.50675017
51291,.025864113,.54509878
51292,-.36515141,.36127961
51293,-.62710291,.25582078
51294,-.86199558,.18548229
51295,-.4523803,.32263744
51332,-.00052961765,.53287029
51333,-.85844111,.18675406
51334,-1.1612403,.11553512
51335,.77214068,.81138718
51350,.75053221,.80630016
51370,-.99898225,.14997065
51391,.24552694,.64390528
51392,.27184886,.65456855
51393,-.30353647,.38925847
51394,.61381155,.77323419
51395,.062717058,.5623166
51396,.23787686,.64126396
51397,.16409589,.60946977
51431,.21427988,.63118762
51432,.11816742,.58804542
51433,-.24325587,.4189004
51434,-1.3063809,.090099782
51435,.018036682,.54138136
51440,-.47234061,.3141264
51441,-1.1218811,.12316572
51442,-.67433596,.2388965
51443,-.53581953,.29113677
51444,-.040561143,.51232636
51450,.11247108,.58511055
51452,.15873305,.60682839
51453,-.42069906,.33555079
51454,-.23768751,.42222658
51455,.039935466,.55096853
51460,-.2159749,.43181375
51461,.075058758,.56789279
51462,-.85362554,.18802583
51470,-.84238708,.19056936
51491,-.086497724,.49109763
51492,-.85073882,.18861279
51493,-.13176222,.47114068
51494,.012935951,.53952259
51495,.48542321,.73224419
51532,-.83106261,.19321072
51533,.33050814,.67618859
51534,-.33121401,.37585598
51535,.043785322,.55263156
51560,-.58029741,.27382118
51561,-.95067698,.16229701
51570,-.031615265,.51721776
51591,.4032459,.70279789
51592,.060443517,.560947
51593,.052863527,.55664253
51630,.19588432,.62287223
51631,-.016349887,.52435923
51632,-.27400857,.40412834
51633,.49675584,.73537469
51634,.066381529,.563784
51650,-.63133526,.25425553
51677,-.014185975,.52572882
51690,.35835639,.68597144
51691,.42361492,.71248287
51692,.41775006,.70964587
51693,-.16564381,.45539033
51694,-.40585411,.34190962
51695,-.16476171,.45578164
51696,-.3849377,.35149679
51733,.43902171,.71668947
51734,-.0030228305,.531892
51735,.98867464,.85707301
51736,-.31451446,.3838779
51737,1.2169299,.89953041
51770,.12272976,.59029543
